NUISANCE_PARAMETERS
gamma_stat_tautau_SR0_bin_3  1.00551 +0.00902639 -0.00902639
gamma_stat_tautau_SR0_bin_4  0.99706 +0.0108037 -0.0108037
gamma_stat_tautau_SR0_bin_5  1.00206 +0.0101845 -0.0101845
gamma_stat_tautau_SR0_bin_6  0.990152 +0.00976469 -0.00976469
gamma_stat_tautau_SR1_bin_0  0.833416 +0.394693 -0.394693
gamma_stat_tautau_SR1_bin_1  0.980933 +0.0808131 -0.0808131
gamma_stat_tautau_SR1_bin_10  1.07448 +0.192548 -0.192548
gamma_stat_tautau_SR1_bin_11  0.676257 +0.39492 -0.39492
gamma_stat_tautau_SR1_bin_12  0.776707 +0.388029 -0.388029
gamma_stat_tautau_SR1_bin_13  1.12517 +0.29153 -0.29153
gamma_stat_tautau_SR1_bin_2  1.04264 +0.0534127 -0.0534127
gamma_stat_tautau_SR1_bin_3  1.04293 +0.0492637 -0.0492637
gamma_stat_tautau_SR1_bin_4  1.05238 +0.0416935 -0.0416935
gamma_stat_tautau_SR1_bin_5  1.00637 +0.0333503 -0.0333503
gamma_stat_tautau_SR1_bin_6  0.979871 +0.028709 -0.028709
gamma_stat_tautau_SR1_bin_7  0.992067 +0.0271282 -0.0271282
gamma_stat_tautau_SR1_bin_8  1.01438 +0.0458944 -0.0458944
gamma_stat_tautau_SR1_bin_9  1.00481 +0.0648704 -0.0648704
gamma_stat_tautau_SR2_bin_0  1.20458e-05 +47498.2 -47498.2
gamma_stat_tautau_SR2_bin_1  0.994626 +0.117548 -0.117548
gamma_stat_tautau_SR2_bin_10  1.31998 +0.327256 -0.327256
gamma_stat_tautau_SR2_bin_11  0.855107 +0.249475 -0.249475
gamma_stat_tautau_SR2_bin_12  0.502348 +0.881219 -0.881219
gamma_stat_tautau_SR2_bin_13  1.04994 +0.371646 -0.371646
gamma_stat_tautau_SR2_bin_2  1.02141 +0.0555432 -0.0555432
gamma_stat_tautau_SR2_bin_3  1.03011 +0.0329972 -0.0329972
gamma_stat_tautau_SR2_bin_4  0.990633 +0.0253491 -0.0253491
gamma_stat_tautau_SR2_bin_5  0.97516 +0.0281039 -0.0281039
gamma_stat_tautau_SR2_bin_6  0.99407 +0.0428564 -0.0428564
gamma_stat_tautau_SR2_bin_7  1.17557 +0.0931787 -0.0931787
gamma_stat_tautau_SR2_bin_8  1.24723 +0.162159 -0.162159
gamma_stat_tautau_SR2_bin_9  0.747068 +0.134986 -0.134986
mu_comb  0.954804 +0.00160054 -0.00160054


CORRELATION_MATRIX
134   134
0.0143932   0.000341213   -3.50118e-05   0.000429944   -0.00083737   0.000408283   -0.000387693   -0.00161094   0.000148393   -0.000322015   -0.00196669   -0.000811987   0.000642557   0.000522951   3.9681e-07   -0.00018399   0.00028365   -0.000594519   0.00137773   0.00120132   -0.000511786   0.000330821   -0.000658693   6.48865e-05   -0.000985208   1.57046e-05   -0.000356839   -0.000657287   5.04501e-06   0.000175734   -2.98958e-05   9.71762e-05   6.70512e-05   -0.000306734   -1.47554e-05   0.00079732   0.024658   -0.0140567   -0.00146866   0.00169471   0.00681925   0.0175172   0.00234132   0.00482679   -0.00845235   0.0573223   -0.035959   -0.0415965   0.00382929   0.00293455   0.00199475   0.00251215   0.00256844   0.00285085   0.00393294   -0.000748403   -0.00140853   -0.000855985   -0.000786278   -0.000761403   -0.000132802   -0.00167787   -0.00194847   -0.00214005   -0.00156562   0.00443469   -0.00244646   -0.0013218   -0.00415906   -0.00392845   -0.000202645   -0.00146006   0.000282863   0.00281424   0.00282535   0.00373732   0.00156271   0.0043649   -0.000519512   0.00581237   -0.00195049   -0.000282379   -0.000616268   -0.00126166   -0.000890727   0.000127834   -0.0153371   3.2199e-06   2.21341e-05   4.79247e-05   2.50372e-05   -0.000382372   -0.000155892   5.86007e-05   -1.42123e-05   -0.000552992   -0.000614658   -5.51569e-07   -6.42867e-06   8.16281e-06   0.000165991   0.000718795   0.000364031   0.0602089   0.00368992   0.00717806   0.0201805   0.00152049   -0.0106614   -0.0067766   -0.0425317   0.0499654   0.0270254   -0.0157682   0.0215525   0.000335636   -6.7602e-05   0.0104905   -0.00754962   -0.00391025   -8.00675e-05   0.00025904   0.0008081   -0.00213606   -0.000253972   0.000634795   0.000962026   -0.00269294   0.0002   -0.0121677   -0.00836439   0.000598759   -0.000609768   1   
