gamma_stat_ee_SR_bin_26	-0.000407639	-0.000376603	0.000371465
gamma_stat_ee_SR_bin_27	8.35693e-05	7.73466e-05	-7.60864e-05
gamma_stat_ee_SR_bin_28	-0.000765094	-0.000707056	0.000697413
gamma_stat_ee_SR_bin_29	0.000152485	0.000141393	-0.000139497
gamma_stat_ee_SR_bin_3	0.00128269	0.00118334	-0.00115968
gamma_stat_ee_SR_bin_30	-0.000594242	-0.000554911	0.000547368
gamma_stat_ee_SR_bin_31	-8.7521e-05	-8.16857e-05	8.07144e-05
gamma_stat_ee_SR_bin_32	0.000193776	0.000179826	-0.000177356
gamma_stat_ee_SR_bin_33	-8.91678e-05	-8.25922e-05	8.14184e-05
gamma_stat_ee_SR_bin_34	0.000265957	0.000247441	-0.00024332
gamma_stat_ee_SR_bin_35	-6.22355e-05	-5.74968e-05	5.65943e-05
gamma_stat_ee_SR_bin_36	-8.12641e-05	-7.51883e-05	7.40241e-05
gamma_stat_ee_SR_bin_37	-0.000147531	-0.000136382	0.000134196
gamma_stat_ee_SR_bin_38	-0.000162899	-0.00015066	0.000148228
gamma_stat_ee_SR_bin_39	-6.03416e-05	-5.5737e-05	5.47915e-05
gamma_stat_ee_SR_bin_4	0.000679141	0.000626875	-0.000615033
gamma_stat_ee_SR_bin_40	-0.000515912	-0.000476244	0.00046817
gamma_stat_ee_SR_bin_41	-0.000121867	-0.000112613	0.000110657
gamma_stat_ee_SR_bin_42	-0.000615568	-0.000568464	0.000558371
gamma_stat_ee_SR_bin_43	-3.6985e-05	-3.41718e-05	3.35984e-05
gamma_stat_ee_SR_bin_44	-0.000518402	-0.000479008	0.000469959
gamma_stat_ee_SR_bin_45	0.000142181	0.00013139	-0.000128953
gamma_stat_ee_SR_bin_46	-8.66172e-05	-8.00665e-05	7.85342e-05
gamma_stat_ee_SR_bin_47	-0.000425527	-0.000392991	0.000384716
gamma_stat_ee_SR_bin_48	-3.7546e-05	-3.47192e-05	3.40525e-05
gamma_stat_ee_SR_bin_49	0.000148765	0.000137214	-0.000135238
gamma_stat_ee_SR_bin_5	0.000988045	0.00091324	-0.000894826
gamma_stat_ee_SR_bin_50	-0.000175545	-0.000162358	0.000159127
gamma_stat_ee_SR_bin_51	0.000114741	0.000106299	-0.00010407
gamma_stat_ee_SR_bin_52	-0.000143699	-0.000133045	0.000130229
gamma_stat_ee_SR_bin_53	0.000231184	0.000214082	-0.000209513
gamma_stat_ee_SR_bin_54	-0.000268548	-0.000247696	0.00024413
gamma_stat_ee_SR_bin_55	-3.64673e-05	-3.3752e-05	3.29748e-05
gamma_stat_ee_SR_bin_56	-0.000160316	-0.000148418	0.000145152
gamma_stat_ee_SR_bin_57	0.000254228	0.000235555	-0.000230267
