NUISANCE_PARAMETERS
gamma_stat_ee_SR_bin_50  0.989989 +0.0099159 -0.00986054
gamma_stat_ee_SR_bin_51  1.00548 +0.0109949 -0.0109215
gamma_stat_ee_SR_bin_52  1.01136 +0.0113884 -0.0113102
gamma_stat_ee_SR_bin_53  1.00465 +0.0115412 -0.0114599
gamma_stat_ee_SR_bin_54  1.00396 +0.0124193 -0.0124193
gamma_stat_ee_SR_bin_55  1.01048 +0.0130511 -0.0129368
gamma_stat_ee_SR_bin_56  1.0075 +0.0125825 -0.0124854
gamma_stat_ee_SR_bin_57  1.00417 +0.0132134 -0.0131056
gamma_stat_ee_SR_bin_58  0.994908 +0.0138476 -0.0137226
gamma_stat_ee_SR_bin_59  1.01201 +0.0139376 -0.0139376
gamma_stat_ee_SR_bin_6  0.952993 +0.00833848 -0.00833848
gamma_stat_ee_SR_bin_7  0.975304 +0.00883929 -0.00878584
gamma_stat_ee_SR_bin_8  0.978165 +0.00873002 -0.00867955
gamma_stat_ee_SR_bin_9  0.964942 +0.00788269 -0.0078439
gamma_stat_mumu_SR_bin_0  1.01193 +0.00481115 -0.00479426
gamma_stat_mumu_SR_bin_1  0.993976 +0.0037958 -0.00378436
gamma_stat_mumu_SR_bin_10  1.00747 +0.00487105 -0.004854
gamma_stat_mumu_SR_bin_11  1.00508 +0.00664551 -0.00660997
gamma_stat_mumu_SR_bin_2  0.994381 +0.00328596 -0.00327725
gamma_stat_mumu_SR_bin_3  0.995223 +0.00231771 -0.00231737
gamma_stat_mumu_SR_bin_4  0.99976 +0.00171902 -0.00171739
gamma_stat_mumu_SR_bin_5  1.00022 +0.00104857 -0.00104838
gamma_stat_mumu_SR_bin_6  0.999899 +0.000811998 -0.000811413
gamma_stat_mumu_SR_bin_7  0.999768 +0.00226025 -0.00226026
gamma_stat_mumu_SR_bin_8  1.00072 +0.00242927 -0.00242528
gamma_stat_mumu_SR_bin_9  1.00927 +0.00367727 -0.00366717
gamma_stat_tautau_SR0_bin_0  0.9809 +0.0195776 -0.0193475
gamma_stat_tautau_SR0_bin_1  0.995111 +0.01438 -0.0142552
gamma_stat_tautau_SR0_bin_2  1.00514 +0.00908086 -0.00904452
gamma_stat_tautau_SR0_bin_3  1.00652 +0.00915641 -0.00911021
gamma_stat_tautau_SR0_bin_4  0.997239 +0.0109533 -0.0108803
gamma_stat_tautau_SR0_bin_5  1.00233 +0.0104181 -0.0103392
gamma_stat_tautau_SR0_bin_6  0.991083 +0.00990868 -0.00985159
gamma_stat_tautau_SR1_bin_0  0.826206 +0.466185 -0.338079
gamma_stat_tautau_SR1_bin_1  0.958508 +0.0822275 -0.0775933
gamma_stat_tautau_SR1_bin_10  1.12129 +0.201286 -0.181049
gamma_stat_tautau_SR1_bin_11  0.749556 +0.488247 -0.3492
gamma_stat_tautau_SR1_bin_12  0.835728 +0.501733 -0.356724
gamma_stat_tautau_SR1_bin_13  1.13407 +0.326093 -0.273494
gamma_stat_tautau_SR1_bin_2  1.07014 +0.0563284 -0.0543886
gamma_stat_tautau_SR1_bin_3  1.0356 +0.050198 -0.0485812
gamma_stat_tautau_SR1_bin_4  1.06613 +0.0423922 -0.0413605
gamma_stat_tautau_SR1_bin_5  1.00715 +0.0341381 -0.0333605
gamma_stat_tautau_SR1_bin_6  0.97418 +0.0292673 -0.0286528
gamma_stat_tautau_SR1_bin_7  0.995461 +0.0277862 -0.0272982
gamma_stat_tautau_SR1_bin_8  1.01155 +0.0470892 -0.0456239
gamma_stat_tautau_SR1_bin_9  1.00528 +0.0669565 -0.0641022
gamma_stat_tautau_SR2_bin_0  2.16792e-08 +51040.8 -2.16792e-08
gamma_stat_tautau_SR2_bin_1  1.03353 +0.129008 -0.118845
gamma_stat_tautau_SR2_bin_10  1.12875 +0.312188 -0.262052
gamma_stat_tautau_SR2_bin_11  0.972055 +0.320325 -0.261216
gamma_stat_tautau_SR2_bin_12  0.273236 +0.848361 -0.251255
gamma_stat_tautau_SR2_bin_13  1.03375 +0.420108 -0.329969
gamma_stat_tautau_SR2_bin_2  1.03993 +0.0586519 -0.0562752
gamma_stat_tautau_SR2_bin_3  1.01126 +0.0336617 -0.0328093
gamma_stat_tautau_SR2_bin_4  0.9871 +0.026109 -0.0255805
gamma_stat_tautau_SR2_bin_5  0.966151 +0.0290348 -0.0283904
gamma_stat_tautau_SR2_bin_6  1.0178 +0.0455035 -0.0440813
gamma_stat_tautau_SR2_bin_7  1.19072 +0.0989078 -0.0935648
gamma_stat_tautau_SR2_bin_8  1.23767 +0.173066 -0.157262
gamma_stat_tautau_SR2_bin_9  0.760427 +0.148936 -0.131023
mu_comb  0.997108 +0.0150592 -0.0148424


CORRELATION_MATRIX
162   162
0.0103219   0.000538164   3.82739e-05   0.000388354   -0.000528374   4.10333e-06   -0.000361593   -0.00175604   0.000902774   -1.93931e-05   -0.000441427   -0.000606064   0.000697578   0.00135114   1.88557e-06   -0.000167552   0.000419483   -0.000782906   0.00109231   0.00139218   -0.000664902   0.0006464   -0.00043419   6.59766e-05   -0.00062453   -0.000210674   0.000333345   -0.00065909   -1.97232e-05   0.000204399   -0.000269205   9.91425e-05   5.21305e-05   -9.45616e-05   -1.13948e-05   0.000666383   0.0218667   -0.0175703   -0.00283605   -0.000212356   -0.00423586   0.0175103   0.00993049   0.0146182   -0.0106355   0.0536986   -0.0212528   -0.0233662   0.0023258   0.00407249   0.00486285   0.00166112   -0.000222565   -0.00126567   -0.000710357   -0.00216567   -0.00115873   -0.00261488   -0.000617471   -0.00223841   -0.00135681   -0.00192613   0.00319374   -0.000804124   -0.0012096   -0.00238108   -0.0017974   -0.00103002   -0.00307243   -0.00156085   -0.00322559   -0.00151743   -0.00266177   0.0023801   -0.00133712   -0.00183083   -0.00145892   -0.00140629   -0.0018877   -0.000883839   -0.00194139   -3.94898e-05   -8.51294e-05   -0.000724281   0.00398996   0.000568457   -0.00184464   0.000736491   -0.000594493   -0.000148307   0.00143495   -1.19448e-05   0.00012006   6.26976e-05   0.00230839   0.00342652   0.00321056   0.000674268   0.000239031   0.000569816   0.00256883   0.000147341   -0.000314123   0.000922317   0.00214295   0.00214658   0.0034104   0.00476329   2.34198e-05   0.000204784   0.000550225   0.000475461   1.2473e-05   0.00505838   0.000699101   0.000277091   -0.00672727   5.18095e-06   1.42844e-05   5.60766e-05   -0.000131684   -0.000190486   -0.000208517   0.000108756   -0.000722571   -0.000266484   -0.00103622   1.53533e-07   1.43151e-05   8.321e-05   0.000141199   0.000760971   0.000163265   0.0356655   -0.00889727   0.00360884   0.0141214   0.0017571   -0.00646434   -0.0113981   -0.0328312   0.0457861   0.0079079   -0.0240213   0.00296584   0.000391902   0.00103969   -0.000943098   0.00146504   0.00019339   0.000100766   0.000316157   0.000707599   -0.000427598   0.000210975   0.000737868   0.00111404   -0.0025574   0.000168402   -0.00469059   -6.05524e-05   1   
0.0381267   -0.016986   0.0257108   0.00431493   0.036355   0.00511487   -0.0292264   -0.0405724   0.0242223   0.0106094   -0.00306279   0.0131307   -0.0623528   0.0303579   -5.59569e-05   0.00766213   -0.0121026   0.0119089   -0.0355407   0.0130799   0.051186   0.00123463   0.0281598   -0.000868229   0.0141618   0.0191154   0.039554   -0.0177613   -0.00217689   -0.000109924   -0.000511711   -0.000236211   0.00663761   0.0058801   -0.018218   -0.0029102   0.0912408   0.0572804   -0.00277567   -0.00925745   0.008147   -0.0516946   0.0319814   -0.0411936   -0.0257795   0.0182934   -0.123405   0.0789833   -0.148644   -0.0632453   -0.0965136   -0.0421854   0.0215341   -0.0346104   0.0689788   0.0837831   -0.146793   -0.0712299   -0.0480047   0.017492   -0.0689589   0.0535477   -0.0217089   -0.0255841   -0.044236   -0.189174   0.10855   0.135744   0.0439245   0.0964426   0.0539206   0.0307381   -0.075202   -0.0535632   0.093039   0.000380218   -0.0612923   -0.00234956   0.174717   0.101896   0.228854   0.195894   0.296191   0.19149   0.0784505   0.263539   -0.0447904   -0.183258   -0.140333   -0.373829   -0.320154   -0.377915   -0.322422   -0.380652   -0.304799   0.148681   -0.421092   -0.250318   -0.330065   -0.227188   -0.112778   -0.0973354   -0.170676   -0.0284639   -0.0495948   -0.020281   -0.0092409   0.0420891   0.000383731   0.000240867   0.00035554   -0.02596   -0.0196008   -0.121602   0.000867885   0.00423538   -0.0353734   -0.000170815   -0.0012912   -0.00110423   0.000241203   -0.00383348   -0.00147534   -0.00159699   -0.00278725   -0.00795178   -0.00436534   -4.19945e-06   -0.000918407   0.00324024   -0.000296528   -0.00160899   0.000397678   -0.132317   -0.403462   -0.452843   0.0153184   -0.0622378   0.0741046   -0.0298844   0.121864   0.103281   -0.0818966   -0.0632767   -0.0144764   0.0317729   -0.0160387   -0.0376157   -0.0922703   0.000282826   0.00730195   0.0253054   0.00518167   0.000919957   0.0160223   0.023918   0.0306021   0.0829048   0.00129184   -0.336314   1   -6.05524e-05   
-0.0709255   0.00156485   -0.000927845   -0.000558607   0.00114899   -0.00533811   0.00258091   -0.0017439   0.0160441   0.0040823   0.00922737   -0.00119122   0.00810445   0.0153712   4.39724e-06   -0.00110914   0.00281819   -0.00669529   -0.000335465   0.00602512   -0.00310353   0.00775142   -0.000786737   0.000677809   0.00442117   -0.00299436   0.0139546   -0.000714325   1.86409e-05   -0.00246879   -0.00349992   -0.00150294   -0.00269407   0.00180932   0.00449987   0.00650981   0.041315   0.00250905   -0.00224393   0.00368361   0.00244533   0.0085272   0.00674344   0.00641646   0.00865176   0.0479588   -0.0194158   -0.00427178   0.0270139   0.0889571   0.0981726   0.0106089   -0.0305713   -0.0709685   -0.0633079   -0.0609049   -0.0639079   -0.0939329   -0.0403941   -0.0732359   -0.0592447   -0.0547174   0.0626697   -0.0346948   -0.0472413   -0.106026   -0.0161652   -0.034312   -0.0692112   -0.0318095   -0.0693787   -0.0377498   -0.0476341   0.00612749   -0.00806677   -0.0204411   -0.0147296   0.00262058   0.0008164   0.0203424   -0.0212224   0.00187161   0.0129295   -0.0239555   0.0792395   0.0331567   -0.0665883   -0.000112427   -0.017133   -0.0294554   0.0447793   -0.0158373   0.0124094   -0.0129123   0.0626248   0.0649523   0.0628238   0.0239148   -0.00859551   0.0101024   0.0806922   -0.00910913   -0.0267166   0.0247364   0.0394382   0.0478851   0.0424159   0.0657438   0.00101858   0.00193417   0.00275126   -0.00802762   -0.00873268   -0.0170135   0.00262848   -0.00266532   0.0233641   -4.22519e-05   0.000417938   0.00156873   0.00213095   0.00654459   0.00480506   0.00434806   0.00469677   0.012295   0.0161552   -1.1507e-07   0.000709157   0.000869458   -0.000216431   0.00590115   -0.00427992   -0.00396657   -0.291873   0.0422367   0.039038   0.0107981   -0.00732333   0.0202771   0.0105128   -0.0202533   0.146812   0.0459226   0.0374865   -0.000630888   0.0104998   0.00401678   0.0313425   0.00430146   0.00347714   0.00166327   -0.00925333   0.0065939   0.00818015   0.0030875   0.00587099   -0.0125139   -0.0022514   1   -0.336314   -0.00469059   
0.0210572   0.00640423   -0.00134863   0.00221014   0.0139505   0.012156   0.0188968   0.0103447   0.00621563   0.000431519   0.000248104   0.00471862   0.00410282   0.00338474   -2.51503e-05   -0.000897985   -0.00355612   0.00295592   0.00483859   0.00984008   0.0140425   0.000938647   0.0049202   0.000839164   0.000886717   0.0149979   0.0151058   -0.00538475   -0.000430929   -0.022658   0.00441808   -0.0211099   -0.0244516   -0.0393999   -0.0115891   0.006762   0.00357449   0.00390494   -0.000771886   -0.000225317   -0.000487183   0.00243831   -0.00249317   -0.00465003   -0.00619079   -0.00131758   0.00223081   0.00109008   0.00348687   0.00393479   0.00427815   0.00246974   0.00256961   0.0026023   0.00217011   0.001129   0.00178079   0.00167113   0.00246011   0.0015163   0.00297115   0.000914906   0.00346904   0.00166068   0.00123611   0.00106739   0.000698107   0.00129653   -6.27527e-05   0.000541594   -0.000601747   0.000470129   -0.000332467   0.00605818   0.00014436   -0.000174964   0.000230128   -0.0006809   -0.000972449   -0.000664319   -0.00143245   -0.000303192   -0.000574756   -0.00101571   0.00396856   -0.000450535   -0.00205003   -0.000733017   -0.00176522   -0.00126514   -0.000399109   -0.0010508   -0.000737235   -0.000637437   0.000954101   0.00318611   0.00179507   0.000380766   0.000609591   0.00120616   0.00192228   0.00122166   0.00122616   0.00175166   0.00314877   0.00261197   0.00364115   0.00470367   0.000437135   0.000849994   -0.00229953   -0.00751627   0.00104915   -0.00574028   -0.00221942   -0.061909   0.00317186   -0.000590411   -0.00105737   0.00129045   -0.00376743   -0.00364491   -0.00471272   0.00350165   -0.0124126   -0.00110197   -0.0058354   -3.92206e-05   -0.00356583   0.00197585   -9.92648e-05   -0.00451707   -0.00104265   -0.0082775   -0.00473983   0.00253006   -0.000838253   0.0195183   -0.00111331   -0.0012229   0.00821115   -0.00127265   -0.00695779   -0.00284691   -0.00168963   -0.0078676   -0.114176   -0.0192934   0.00274082   -0.0003074   0.00904141   0.0134764   -0.381537   -0.000481561   0.0164394   0.00982832   0.0214872   0.0190302   1   -0.0022514   0.00129184   0.000168402   
0.00447629   -0.00949132   0.0403827   0.00175298   0.0498257   0.0894996   0.0658474   0.0495239   -0.000592247   0.0202402   0.0108245   0.00746993   -0.00897143   0.00978881   -0.000175801   -0.180137   -0.297683   -0.345902   0.0642281   0.0495879   0.0663642   0.0196757   0.0061196   0.00178405   -0.00387447   -0.0190107   -0.0258952   0.0230485   -0.00104672   0.0128298   -0.00605015   -0.00598157   -0.00869705   0.00782838   0.0239288   0.0260764   0.0452715   0.0266542   -0.00384426   -0.00685113   0.00688734   -0.0421768   0.00331436   0.0074403   0.0654832   0.0739745   -0.0642632   0.0334221   -0.028828   -0.0271761   -0.0321991   -0.000690575   -0.00787668   -0.0217957   0.00415557   0.0256445   -0.0540942   -0.0280725   -0.0308474   0.00311092   -0.0232958   0.0110266   -0.00940881   -0.0163189   -0.0227477   -0.066884   0.0305453   0.0346533   0.0205099   0.0248596   0.0221832   0.0117542   -0.013956   -0.0163763   0.0340409   0.00940697   -0.0104343   0.0197441   0.0705097   0.0336537   0.0509923   -0.0259667   -0.0118718   -0.0416173   0.0268318   0.00638875   -0.0187184   -0.0184993   0.0468315   -0.01678   0.0134407   0.00406936   0.0283654   -0.00689603   -0.00433408   0.0446711   -0.0697281   -0.0019845   -0.0338855   -0.013704   0.00804366   0.00372352   -0.0163173   0.0234699   0.00239197   0.0104358   0.000527804   0.0018756   0.00128461   0.00533585   0.00535572   -0.00530362   -0.00255583   0.0143748   0.00446575   -0.069985   -0.00109562   -0.00011066   -0.00946453   0.0146435   0.0186968   0.0173095   -0.0601057   0.0437423   0.11908   -0.00423144   -0.137881   -3.30629e-05   -0.0184196   -0.0048633   -0.0491979   -0.197073   -0.202458   -0.00858741   -0.0846645   -0.176615   -0.138928   -0.137539   0.0157431   -0.013011   0.0150709   0.057063   0.00983526   -0.0207401   0.0115749   0.0594229   -0.0345136   -0.0177286   -0.0383904   0.00922121   0.0416689   -0.28539   0.0796629   0.0148281   0.0713381   0.0642473   0.164131   1   0.0190302   -0.0125139   0.0829048   -0.0025574   
0.000884389   0.0127021   -0.00558786   0.00433616   0.0431229   0.0753563   0.0930537   0.0480448   0.0274087   0.000411719   -0.00220312   0.00876852   -0.00116747   0.00692718   -5.25715e-05   -0.0029463   0.00432511   0.0278927   -0.198864   -0.103691   -0.0782882   -0.117798   -0.150353   0.0013919   0.00139423   0.005692   0.00979359   -0.184712   -0.0139241   -0.000937097   0.0046824   -0.00188432   -0.000242023   0.00219807   0.0177565   0.0287705   0.00933231   0.00914201   0.000881   0.00104817   -0.000144844   0.00556129   0.00578009   -0.0153904   -0.0390639   -0.0348325   -0.00749348   0.00931385   -0.00740391   -0.00674617   -0.0085589   0.0022992   0.00114284   -0.00312497   0.00501207   0.0121062   -0.0138724   -0.00539193   -0.00661924   0.00436038   -0.00442652   0.00704244   -0.000778338   -0.00208674   -0.00423978   -0.0187885   0.0127118   0.013523   0.00953417   0.0104121   0.00966744   0.00536803   -0.00278611   -0.00273449   0.0125198   0.00374424   -0.00286759   0.00608526   0.0222744   0.00997691   0.0163583   -0.0064438   -0.000844573   -0.0101591   0.0109024   0.00372727   -0.00636172   -0.00877664   0.0117905   -0.00906472   0.000539981   -0.00251165   0.00561276   -0.00503871   -0.00388087   0.0170208   -0.0243569   -0.00155246   -0.0113433   -0.00431473   0.00262314   0.00229236   -0.00382707   0.00899125   0.00247682   0.00492085   0.00282083   0.00296894   -0.00318767   -0.00215771   -0.00269407   -0.00148202   0.000602053   -0.0209745   -0.0031814   -0.0126412   0.00132117   -9.84078e-05   0.00242993   -0.0300212   -0.0320889   -0.0132821   0.00241223   -0.0614795   -0.0631589   -0.0494657   0.0342918   -4.9783e-05   0.00639352   -0.018299   0.00944214   -0.070719   -0.0273199   -0.0240065   -0.0256581   -0.0572761   0.0734047   0.0473818   -0.0247107   0.000872219   0.0227526   0.012648   -0.012212   -0.00128467   -0.00577682   0.0639801   -0.0181725   -0.00806632   -0.0172283   -0.00421447   0.0365316   -0.259448   0.0897337   -0.00660503   0.0678317   0.025555   1   0.164131   0.0214872   0.00587099   0.0306021   0.00111404   
